pub_date	title	venue	excerpt	citation	url_slug
2023	Supporting guided exploratory visual analysis on time series data with reinforcement learning	Journal 1	Yang Shi, Bingchang Chen, Ying Chen, Zhuochen Jin, Ke Xu, Xiaohan Jiao, Tian Gao, Nan Cao	Yang Shi, Bingchang Chen, Ying Chen, Zhuochen Jin, Ke Xu, Xiaohan Jiao, Tian Gao, Nan Cao, Supporting guided exploratory visual analysis on time series data with reinforcement learning[J], IEEE TVCG, 2023	paper-title-number-1
2022	Development and validation of a deep learning model to predict the survival of patients in ICU	Journal 1	Hai Tang, Zhuochen Jin, Jiajun Deng, Yunlang She, Yifan Zhong, Weiyan Sun, Yijiu Ren, Nan Cao, Chang Chen	Hai Tang, Zhuochen Jin, Jiajun Deng, Yunlang She, Yifan Zhong, Weiyan Sun, Yijiu Ren, Nan Cao, Chang Chen, Development and validation of a deep learning model to predict the survival of patients in ICU[J]. JAMA, 2022	paper-title-number-2
2021	Survey on visual analysis of event sequence data	Journal 1	Yi Guo, Zhuochen Jin, Shunan Guo, Smiti Kaul, David Gotz, Nan Cao	Yi Guo, Zhuochen Jin, Shunan Guo, Smiti Kaul, David Gotz, and Nan Cao, Survey on visual analysis of event sequence data[J]. IEEE TVCG, 2021	3
2021	Interpretable anomaly detection in event sequences via sequence matching and visual comparison	Journal 1	Shunan Guo, Zhuochen Jin, Fuling Sun, Jingwen Li, Zhaorui Li, Yang Shi, and Nan Cao	Shunan Guo, Zhuochen Jin, Fuling Sun, Jingwen Li, Zhaorui Li, Yang Shi, and Nan Cao, Vinci: An Intelligent Graphic Design System for Generating Advertising Posters, submitted to ACM SIGCHI, 2020	paper-title-number-4
2020	Vinci: An Intelligent Graphic Design System for Generating Advertising Posters	Journal 1	Shunan Guo, Zhuochen Jin, Qing Chen, David Gotz, Hongyuan Zha, Nan Cao	Shunan Guo, Zhuochen Jin, Qing Chen, David Gotz, Hongyuan Zha, Nan Cao, Interpretable anomaly detection in event sequences via sequence matching and visual comparison[J]. IEEE TVCG, 2021	paper-title-number-5
2020	Visual Causality Analysis of Event Sequence Data	Journal 1	Zhuochen Jin, Shunan Guo, Nan Chen, Daniel Weiskopf, David Gotz, Nan Cao	Zhuochen Jin, Shunan Guo, Nan Chen, Daniel Weiskopf, David Gotz, and Nan Cao, Visual Causality Analysis of Event Sequence Data, IEEE TVCG, 2020	paper-title-number-6
2020	EcoLens: Visual Analysis of Ecological Regions in Urban Contexts Using Traffic Data	Journal 1	Zhuochen Jin, Nan Cao, Yang Shi, Wenchao Wu and Yingcai Wu (ChinaVis 2020, Best Paper)	Zhuochen Jin, Nan Cao, Yang Shi, Wenchao Wu and Yingcai Wu, EcoLens: Visual Analysis of Ecological Regions in Urban Contexts Using Traffic Data, Journal Of Visualization	paper-title-number-7
2020	TrammelGraph: Visual Graph Abstraction for Comparison	Journal 1	Zhuochen Jin, Nan Chen, Yang Shi, Weihong Qian, Maoran Xu, Nan Cao	Zhuochen Jin, Nan Chen, Yang Shi, Weihong Qian, Maoran Xu, and Nan Cao,TrammelGraph: Visual Graph Abstraction for Comparison, Journal Of Visualization	paper-title-number-8
2020	Development and Validation of a Deep Learning Model for Non–Small Cell Lung Cancer Survival	Journal 1	Yunlang She, Zhuochen Jin, Junqi Wu, Jiajun Deng, Lei Zhang, Hang Su, Gening Jiang, Haipeng Liu, Dong Xie, Nan Cao, Yijiu Ren, Chang Chen	She Y, Jin Z, Wu J, et al. Development and Validation of a Deep Learning Model for Non–Small Cell Lung Cancer Survival[J]. JAMA Network Open, 2020, 3(6): e205842-e205842	paper-title-number-9
2019	CarePre: An Intelligent Clinical Decision Assistance System	Journal 1	Zhuochen Jin, Shuyuan Cui, Shunan Guo, David Gotz, Jimeng Sun, and Nan Cao	Zhuochen Jin, Shuyuan Cui, Shunan Guo, David Gotz, Jimeng Sun, and Nan Cao, CarePre: An Intelligent Clinical Decision Assistance System, ACM Transactions on Computing for Healthcare, 2019	paper-title-number-10
2019	Visual Anomaly Detection in Event Sequence Data	Journal 1	Shunan Guo, Zhuochen Jin, Qing Chen, David Gotz, Hongyuan Zha, Nan Cao	Shunan Guo, Zhuochen Jin, Qing Chen, David Gotz, Hongyuan Zha, Nan Cao, Visual Anomaly Detection in Event Sequence Data,  IEEE International Conference on Big Data, 2019	paper-title-number-11
2019	Visact: A visualization design system based on semantic actions	Journal 1	Hongjin Wu, Danqing Shi, Nan Chen, Yang Shi, Zhuochen Jin, Nan Cao	Hongjin Wu, Danqing Shi, Nan Chen, Yang Shi, Zhuochen Jin, and Nan Cao, Visact: A visualization design system based on semantic actions. Journal of Visualization, 2019	paper-title-number-12
2018	Visual Progression Analysis of Event Sequence Data	Journal 1	Shunan Guo, Zhuochen Jin, David Gotz, Fan Du, Hongyuan Zha, Nan Cao	Shunan Guo, Zhuochen Jin, David Gotz, Fan Du, Hongyuan Zha, Nan Cao, Visual Progression Analysis of Event Sequence Data, IEEE VAST 2018	paper-title-number-13
2018	Anomaly detection in spatiotemporal data via regularized non-negative tensor analysis	Journal 1	Chaoguang Lin, Qiuhan Zhu, Shunan Guo, Zhuochen Jin, Yu-Ru Lin, Nan Cao	Chaoguang Lin, Qiuhan Zhu, Shunan Guo, Zhuochen Jin, Yu-Ru Lin, Nan Cao, Anomaly detection in spatiotemporal data via regularized non-negative tensor analysis. Data Min. Knowl. Discov. 32(4): 1056-1073, 2018	paper-title-number-14